asset,fold,model_name,model_family,k,seed,selected_by,dpa,mae_return,rmse_return,mape_price_pct,log_likelihood_train,log_likelihood_val,log_likelihood_test,converged,iterations,n_parameters,aic,bic,runtime_sec
SPY,0,Naive - train mean,baseline,,,,0.5849514563106796,0.005762628028373941,0.007655795627179898,0.5763393113806284,,,,,,,,,8.821487426757812e-06
SPY,0,Naive - persistence,baseline,,,,0.5315533980582524,0.008163438930012569,0.010429065097903301,0.8160573358602121,,,,,,,,,3.337860107421875e-05
SPY,0,Moving Average 5,baseline,,,,0.5315533980582524,0.006509884933569969,0.008460869612977904,0.6509443125890236,,,,,,,,,0.0015501976013183594
SPY,0,Discrete Markov Chain,baseline,,,,0.5849514563106796,0.005779189035116339,0.0076783962913382405,0.5780082456590173,,,,,,,,,0.00020575523376464844
SPY,0,Gaussian HMM K=4 (selected),hmm,4.0,456.0,val_ll,0.5849514563106796,0.0057543920276333935,0.007657046828538643,0.5755685442061348,-5806.010928606422,,-1111.1127564850194,True,70.0,71.0,11754.021857212676,12148.824539769244,0.3052866458892822
GLD,0,Naive - train mean,baseline,,,,0.5339805825242718,0.006634794088691936,0.008754574696329946,0.6634149316842959,,,,,,,,,9.775161743164062e-06
GLD,0,Naive - persistence,baseline,,,,0.5048543689320388,0.009622352389340732,0.012582769355619427,0.9623045028897406,,,,,,,,,3.504753112792969e-05
GLD,0,Moving Average 5,baseline,,,,0.5169902912621359,0.007252249208767195,0.009512869513219042,0.7256629257253536,,,,,,,,,0.0015194416046142578
GLD,0,Discrete Markov Chain,baseline,,,,0.5339805825242718,0.006635052524487531,0.008754835553727126,0.6634413744335587,,,,,,,,,0.00020432472229003906
GLD,0,Gaussian HMM K=4 (selected),hmm,4.0,123.0,val_ll,0.5339805825242718,0.006636939982498082,0.008750626710707293,0.6636123282071039,-7980.4406055822965,,-1747.9789638901236,True,117.0,71.0,16102.881211164924,16497.683893721492,0.4458916187286377
TLT,0,Naive - train mean,baseline,,,,0.5024271844660194,0.007940541271516935,0.009970860395477007,0.794628323845671,,,,,,,,,1.239776611328125e-05
TLT,0,Naive - persistence,baseline,,,,0.48058252427184467,0.011001682574601256,0.014366087340255409,1.1002290730092117,,,,,,,,,4.267692565917969e-05
TLT,0,Moving Average 5,baseline,,,,0.5121359223300971,0.008645397440887376,0.010933251430653062,0.8648655260742201,,,,,,,,,0.0017781257629394531
TLT,0,Discrete Markov Chain,baseline,,,,0.5024271844660194,0.00793346930045572,0.009963050083344553,0.7939161999502934,,,,,,,,,0.0011899471282958984
TLT,0,Gaussian HMM K=3 (selected),hmm,3.0,123.0,val_ll,0.5024271844660194,0.007937031333729565,0.009970896065099714,0.7944423312189806,-7062.351509932469,,-1892.8860999442677,True,41.0,50.0,14224.703019864937,14502.733078003364,0.5038959980010986
BTC-USD,0,Naive - train mean,baseline,,,,0.5133689839572193,0.01784944853263238,0.02539605231115697,1.7820805449454888,,,,,,,,,1.3828277587890625e-05
BTC-USD,0,Naive - persistence,baseline,,,,0.47237076648841353,0.027204001667211104,0.036707960314192024,2.721563648307647,,,,,,,,,3.8623809814453125e-05
BTC-USD,0,Moving Average 5,baseline,,,,0.45989304812834225,0.02053039455055128,0.0276703640923389,2.0505096892752896,,,,,,,,,0.0014355182647705078
BTC-USD,0,Discrete Markov Chain,baseline,,,,0.5133689839572193,0.017847440791482653,0.025395774522157046,1.7818852529419122,,,,,,,,,0.00020170211791992188
BTC-USD,0,Gaussian HMM K=4 (selected),hmm,4.0,123.0,val_ll,0.5044563279857398,0.01799733806451756,0.025608771448235108,1.7945551296545366,-10029.244403615578,,-2054.8821261356466,True,94.0,71.0,20200.488807231155,20617.16202671823,1.3252959251403809
DIS,0,Naive - train mean,baseline,,,,0.5145631067961165,0.010831960118395238,0.016304087594244426,1.0840622160178428,,,,,,,,,1.1444091796875e-05
DIS,0,Naive - persistence,baseline,,,,0.49029126213592233,0.015840722592886932,0.0230575237302182,1.5868490924104903,,,,,,,,,4.291534423828125e-05
DIS,0,Moving Average 5,baseline,,,,0.5024271844660194,0.012445309866748093,0.01768096153502265,1.2464219992754861,,,,,,,,,0.0013854503631591797
DIS,0,Discrete Markov Chain,baseline,,,,0.5097087378640777,0.010845934836001278,0.016307058180902254,1.0854496754131648,,,,,,,,,0.0002624988555908203
DIS,0,Gaussian HMM K=4 (selected),hmm,4.0,123.0,val_ll,0.5145631067961165,0.010839837000553229,0.016303056511725478,1.084791000315419,-6670.908642855523,,-1596.9189903674337,True,55.0,71.0,13483.817285710978,13878.619968267547,0.955103874206543
