k,seed,converged,iterations,train_log_likelihood,train_log_likelihood_per_observation,validation_log_likelihood,validation_log_likelihood_per_observation,aic_train,bic_train,n_parameters,fit_time_sec,wall_time_sec,min_state_occupancy_pct,max_state_occupancy_pct
2,42,True,34,-11576.973975211167,-4.428834726553622,-2182.3458659287267,-3.8970461891584405,23215.947950422335,23397.875694142043,31,1.251204013824463,1.2546577453613281,39.1354246365723,60.8645753634277
2,123,True,26,-11576.973980120345,-4.428834728431655,-2182.326382054261,-3.8970113965254662,23215.94796024069,23397.8757039604,31,0.4758033752441406,0.4796485900878906,39.1354246365723,60.8645753634277
2,456,True,23,-11576.973969404995,-4.428834724332439,-2182.350592033591,-3.8970546286314125,23215.94793880999,23397.8756825297,31,0.2665896415710449,0.2703845500946045,39.1354246365723,60.8645753634277
2,789,True,29,-11576.97398491697,-4.4288347302666295,-2182.32246098717,-3.8970043946199464,23215.94796983394,23397.875713553647,31,0.23466920852661133,0.2365400791168213,39.1354246365723,60.8645753634277
2,2026,True,29,-11576.973960823821,-4.428834721049664,-2182.346535416335,-3.897047384672027,23215.947921647643,23397.87566536735,31,0.3576977252960205,0.3596642017364502,39.1354246365723,60.8645753634277
3,42,True,170,-10757.28493367531,-4.115258199569744,-2034.5383420484284,-3.6331041822293364,21614.56986735062,21908.001712059828,50,0.8707325458526611,0.8758413791656494,30.22188217291507,35.99846977811782
3,123,True,113,-10496.244422939099,-4.0153957241542075,-2042.6524718565236,-3.647593699743792,21092.488845878197,21385.920690587405,50,0.6376504898071289,0.6402261257171631,25.554705432287683,40.359602142310635
3,456,True,66,-11031.66261279637,-4.22022288171246,-2164.407816316314,-3.8650139577077036,22163.32522559274,22456.75707030195,50,0.461331844329834,0.4641532897949219,15.340474368783475,53.09869931140015
3,789,True,61,-10781.581126700461,-4.124552841124889,-2089.4161490351057,-3.7311002661341175,21663.162253400922,21956.59409811013,50,0.6627509593963623,0.6654515266418457,30.94873756694721,34.77429227237949
3,2026,True,51,-11042.730281091292,-4.2244568787648396,-2144.86274778375,-3.830112049613839,22185.460562182583,22478.89240689179,50,0.3030555248260498,0.3057985305786133,14.307574598316755,52.98393267023719
4,42,True,80,-9905.432709151542,-3.7893774709837578,-2069.091642297258,-3.694806504102247,19952.865418303085,20369.53863779016,71,0.597010612487793,0.600355863571167,22.532517214996176,29.609793420045904
4,123,True,94,-10029.244403615356,-3.8367423120181163,-2001.5662976929113,-3.5742255315944846,20200.48880723071,20617.162026717786,71,0.6902058124542236,0.7067699432373047,11.400153022188217,37.33741392501913
4,456,True,115,-9904.969569389757,-3.7892002943342606,-2123.043488224759,-3.791149086115641,19951.939138779515,20368.61235826659,71,0.6800661087036133,0.6836822032928467,23.10635042081102,25.860749808722268
4,789,True,74,-9725.99299836348,-3.720731827989089,-1894.3957799972723,-3.3828496071379863,19593.98599672696,20010.659216214033,71,0.4762847423553467,0.4801814556121826,17.061973986228,36.074980872226476
4,2026,True,114,-9751.745583510745,-3.7305836203178058,-1853.9084225132142,-3.3105507544878825,19645.49116702149,20062.164386508564,71,0.6873507499694824,0.6934945583343506,18.20964039785769,30.833970925784236
