k,seed,converged,iterations,train_log_likelihood,train_log_likelihood_per_observation,validation_log_likelihood,validation_log_likelihood_per_observation,aic_train,bic_train,n_parameters,fit_time_sec,wall_time_sec,min_state_occupancy_pct,max_state_occupancy_pct
2,42,True,48,-9073.896646847603,-4.723527666240293,-2023.9064455669165,-4.924346582887875,18209.793293695206,18382.17192974103,31,0.2946312427520752,0.2960391044616699,48.36022904737116,51.63977095262884
2,123,True,35,-9073.896649302946,-4.723527667518452,-2023.9039874023154,-4.924340601952106,18209.79329860589,18382.171934651717,31,0.2169032096862793,0.21852588653564453,48.36022904737116,51.63977095262884
2,456,True,38,-9073.896651528088,-4.723527668676777,-2023.9020470808705,-4.924335880975354,18209.793303056176,18382.171939102,31,0.21083593368530273,0.21256566047668457,48.36022904737116,51.63977095262884
2,789,True,20,-9073.896642283828,-4.723527663864564,-2023.9140925657662,-4.924365188724492,18209.793284567655,18382.17192061348,31,0.22901678085327148,0.23053574562072754,48.36022904737116,51.63977095262884
2,2026,True,42,-9073.896649022801,-4.723527667372619,-2023.9042503120022,-4.924341241635042,18209.793298045603,18382.171934091428,31,0.17984294891357422,0.1815485954284668,48.36022904737116,51.63977095262884
3,42,True,190,-8781.892075865604,-4.5715211222621575,-1887.4430849561243,-4.5923189414990855,17663.784151731208,17941.814209869637,50,0.6288816928863525,0.6329147815704346,20.041644976574702,54.76314419573139
3,123,True,80,-8236.117232616132,-4.287411365234842,-1861.5436020565955,-4.529303168020914,16572.234465232264,16850.264523370693,50,0.48603153228759766,0.48829102516174316,14.263404476834982,49.19312857886518
3,456,True,61,-8236.11721568576,-4.28741135642153,-1861.5402290476852,-4.529294961186582,16572.23443137152,16850.264489509947,50,0.3508751392364502,0.35355305671691895,14.263404476834982,49.19312857886518
3,789,True,66,-8236.117231571056,-4.287411364690815,-1861.5433924074846,-4.529302657925753,16572.23446314211,16850.26452128054,50,0.3364224433898926,0.339672327041626,14.263404476834982,49.19312857886518
3,2026,True,120,-8781.892092220176,-4.5715211307757295,-1887.4428210797703,-4.592318299464162,17663.784184440352,17941.81424257878,50,0.547684907913208,0.5504646301269531,20.041644976574702,54.76314419573139
4,42,True,80,-7966.490735594108,-4.147054000829832,-1854.6367137736436,-4.512498087040496,16074.981471188215,16469.784153744782,71,0.5635385513305664,0.5693397521972656,13.899010931806352,34.46121811556481
4,123,True,117,-7980.440605582075,-4.154315775940694,-1763.7067846636376,-4.291257383609824,16102.88121116415,16497.683893720718,71,1.3735723495483398,1.3780882358551025,13.378448724622594,43.05049453409682
4,456,True,63,-7966.490632238278,-4.147053947026693,-1854.637094814414,-4.512499014146993,16074.981264476555,16469.783947033124,71,1.5160229206085205,1.521726369857788,13.899010931806352,34.46121811556481
4,789,True,72,-7980.4405758648045,-4.154315760471007,-1763.704944057509,-4.291252905249413,16102.881151729609,16497.683834286177,71,0.4809408187866211,0.4835972785949707,13.378448724622594,43.05049453409682
4,2026,True,69,-7966.490619270835,-4.147053940276333,-1854.6561926162824,-4.512545480818205,16074.98123854167,16469.78392109824,71,0.4846360683441162,0.48705458641052246,13.899010931806352,34.46121811556481
