k,seed,converged,iterations,train_log_likelihood,train_log_likelihood_per_observation,validation_log_likelihood,validation_log_likelihood_per_observation,aic_train,bic_train,n_parameters,fit_time_sec,wall_time_sec,min_state_occupancy_pct,max_state_occupancy_pct
2,42,True,13,-6736.25377046726,-3.506639130904352,-2159.3152564407997,-5.253808409831629,13534.50754093452,13706.886176980346,31,0.5454180240631104,0.5483345985412598,19.885476314419574,80.11452368558042
2,123,True,18,-6736.253761561804,-3.506639126268508,-2159.3145298465397,-5.253806641962384,13534.507523123608,13706.886159169433,31,0.317596435546875,0.31922149658203125,19.885476314419574,80.11452368558042
2,456,True,18,-6736.253761963964,-3.5066391264778574,-2159.3144451745566,-5.253806435947826,13534.507523927929,13706.886159973754,31,0.1475968360900879,0.1500225067138672,19.885476314419574,80.11452368558042
2,789,True,18,-6736.2537619143095,-3.506639126452009,-2159.3144541252404,-5.253806457725646,13534.507523828619,13706.886159874444,31,0.3307969570159912,0.33237218856811523,19.885476314419574,80.11452368558042
2,2026,True,18,-6736.2537605541065,-3.5066391257439387,-2159.3147548570687,-5.253807189433257,13534.507521108213,13706.886157154038,31,0.42982959747314453,0.43511295318603516,19.885476314419574,80.11452368558042
3,42,True,51,-5571.5306142620975,-2.900328273952159,-2109.9116362461864,-5.133604954370283,11243.061228524195,11521.091286662622,50,0.6232964992523193,0.6284911632537842,17.17855283706403,44.4039562727746
3,123,True,47,-5571.53061431998,-2.90032827398229,-2109.9116695010975,-5.133605035282476,11243.06122863996,11521.091286778386,50,0.2580254077911377,0.26058173179626465,17.17855283706403,44.4039562727746
3,456,True,49,-5571.5306221326755,-2.9003282780492845,-2109.916028421978,-5.133615640929387,11243.061244265351,11521.091302403778,50,0.34968018531799316,0.35149645805358887,17.17855283706403,44.4039562727746
3,789,True,37,-5571.218809296947,-2.9001659600712895,-2116.8040281747894,-5.150374764415546,11242.437618593895,11520.467676732322,50,0.23033785820007324,0.23227572441101074,17.17855283706403,44.45601249349298
3,2026,True,54,-5571.218900650688,-2.9001660076265945,-2116.4969552555954,-5.149627628359113,11242.437801301376,11520.467859439803,50,0.3256704807281494,0.3284285068511963,17.17855283706403,44.45601249349298
4,42,True,31,-4950.72378656189,-2.5771597014897916,-1906.2824625044605,-4.638156843076546,10043.44757312378,10438.250255680348,71,0.2919018268585205,0.2950868606567383,2.2384174908901615,42.99843831337845
4,123,True,35,-4950.72378844655,-2.577159702470875,-1906.2818672772748,-4.638155394835219,10043.4475768931,10438.25025944967,71,0.3666815757751465,0.36914849281311035,2.2384174908901615,42.99843831337845
4,456,True,37,-4950.7237956610625,-2.5771597062264773,-1906.2789590241682,-4.638148318793597,10043.447591322125,10438.250273878693,71,0.3790245056152344,0.38222455978393555,2.2384174908901615,42.99843831337845
4,789,True,32,-4950.839658665638,-2.57722002012787,-1880.2484033018513,-4.574813633337838,10043.679317331276,10438.481999887845,71,0.3207874298095703,0.32315897941589355,2.6028110359187924,42.894325871941696
4,2026,True,53,-5552.30137714083,-2.890318259833852,-2105.9067747766835,-5.123860765880009,11246.60275428166,11641.405436838228,71,0.2920048236846924,0.29456329345703125,0.2602811035918792,44.4039562727746
