k,seed,converged,iterations,train_log_likelihood,train_log_likelihood_per_observation,validation_log_likelihood,validation_log_likelihood_per_observation,aic_train,bic_train,n_parameters,fit_time_sec,wall_time_sec,min_state_occupancy_pct,max_state_occupancy_pct
2,42,True,20,-7731.537327457361,-4.024746136104821,-2229.233400613915,-5.423925548938966,15525.074654914722,15697.453290960548,31,0.22092223167419434,0.22267436981201172,10.359187922956794,89.64081207704321
2,123,True,16,-7731.537300928662,-4.0247461222949825,-2229.220448442472,-5.423894035139835,15525.074601857325,15697.45323790315,31,0.37680816650390625,0.37889814376831055,10.359187922956794,89.64081207704321
2,456,True,24,-7731.5373155579255,-4.024746129910424,-2229.1938800399394,-5.42382939182467,15525.074631115851,15697.453267161676,31,0.7804653644561768,0.794611930847168,10.359187922956794,89.64081207704321
2,789,True,33,-8041.324763688338,-4.1860097676670165,-1988.8643631037046,-4.839086041614853,16144.649527376676,16317.028163422501,31,0.637382984161377,0.643632173538208,32.37896928682978,67.62103071317023
2,2026,True,20,-7731.537318547119,-4.024746131466486,-2229.1982631496744,-5.423840056325242,15525.074637094238,15697.453273140063,31,0.26230573654174805,0.26489996910095215,10.359187922956794,89.64081207704321
3,42,True,64,-6848.293176193075,-3.5649626112405386,-1978.2429087295866,-4.8132430869333005,13796.58635238615,14074.616410524577,50,0.5090417861938477,0.511359453201294,9.213951067152525,50.70275897969807
3,123,True,48,-6848.293176980419,-3.5649626116504005,-1978.2432683964144,-4.813243962035071,13796.586353960838,14074.616412099265,50,0.3236222267150879,0.32549500465393066,9.213951067152525,50.70275897969807
3,456,True,48,-6848.293172509878,-3.5649626093232056,-1978.2412118674883,-4.813238958315057,13796.586345019756,14074.616403158183,50,0.23482298851013184,0.23842501640319824,9.213951067152525,50.70275897969807
3,789,True,76,-6852.140449847435,-3.5669653565056922,-1987.3377031344037,-4.835371540473002,13804.28089969487,14082.310957833297,50,0.3511643409729004,0.3546292781829834,9.213951067152525,50.754815200416445
3,2026,True,46,-6848.293214626301,-3.5649626312474236,-1978.2597637926244,-4.813284096819038,13796.586429252602,14074.61648739103,50,0.38353586196899414,0.3861424922943115,9.213951067152525,50.70275897969807
4,42,True,56,-6245.780682683345,-3.2513173777633235,-1884.7247049114155,-4.585704878129965,12633.56136536669,13028.364047923256,71,0.34088826179504395,0.3443477153778076,3.8001041124414368,49.81780322748568
4,123,True,101,-6640.100984293398,-3.4565856243068183,-1972.2789251661156,-4.798732178019746,13422.201968586796,13817.004651143365,71,0.43976545333862305,0.44216203689575195,8.38105153565851,37.74076002082249
4,456,True,51,-6259.84409182779,-3.2586382570680845,-1879.4772697257426,-4.572937395926381,12661.68818365558,13056.490866212149,71,0.2673628330230713,0.2717618942260742,1.978136387298282,49.297241020301925
4,789,True,56,-6245.780727656409,-3.2513174011746013,-1884.7406025617026,-4.585743558544289,12633.561455312818,13028.364137869386,71,0.3303074836730957,0.3326241970062256,3.8001041124414368,49.81780322748568
4,2026,True,45,-6245.780726669932,-3.2513174006610788,-1884.7406107906822,-4.585743578566137,12633.561453339864,13028.36413589643,71,0.2897989749908447,0.29208993911743164,3.8001041124414368,49.81780322748568
