k,seed,converged,iterations,train_log_likelihood,train_log_likelihood_per_observation,validation_log_likelihood,validation_log_likelihood_per_observation,aic_train,bic_train,n_parameters,fit_time_sec,wall_time_sec,min_state_occupancy_pct,max_state_occupancy_pct
2,42,True,22,-7742.608510588984,-4.030509375631954,-2072.0448680012855,-5.041471698299965,15547.217021177968,15719.595657223794,31,0.1656661033630371,0.16965818405151367,15.304528891202498,84.6954711087975
2,123,True,22,-7742.608508215775,-4.030509374396551,-2072.044805497445,-5.0414715462224935,15547.21701643155,15719.595652477376,31,0.23993396759033203,0.2416234016418457,15.304528891202498,84.6954711087975
2,456,True,22,-7742.608510946305,-4.030509375817962,-2072.044876853812,-5.041471719838959,15547.21702189261,15719.595657938435,31,0.248091459274292,0.2517211437225342,15.304528891202498,84.6954711087975
2,789,True,23,-7742.6084919313,-4.030509365919469,-2072.0443152933854,-5.041470353511887,15547.2169838626,15719.595619908425,31,0.19370412826538086,0.1957988739013672,15.304528891202498,84.6954711087975
2,2026,True,20,-7742.608497591129,-4.030509368865762,-2072.0445120577865,-5.041470832257388,15547.216995182258,15719.595631228083,31,0.22365140914916992,0.22539567947387695,15.304528891202498,84.6954711087975
3,42,True,47,-6788.055080893093,-3.5336049353946346,-1901.6655280899201,-4.626923426009538,13676.110161786186,13954.140219924613,50,0.28183484077453613,0.2837238311767578,10.671525247267049,48.62051015096304
3,123,True,49,-6788.055202066299,-3.533604998472826,-1901.710100767518,-4.627031875346759,13676.110404132598,13954.140462271025,50,0.2918844223022461,0.29433679580688477,10.671525247267049,48.62051015096304
3,456,True,51,-6788.055184026217,-3.5336049890818413,-1901.7091591399228,-4.627029584282051,13676.110368052434,13954.140426190861,50,0.37303733825683594,0.37521934509277344,10.671525247267049,48.62051015096304
3,789,True,39,-6788.055168392863,-3.533604980943708,-1901.7191343066297,-4.627053854760656,13676.110336785727,13954.140394924154,50,0.23134326934814453,0.2338087558746338,10.671525247267049,48.62051015096304
3,2026,True,43,-6788.055075434774,-3.53360493255324,-1901.6609875007762,-4.626912378347387,13676.110150869548,13954.140209007975,50,0.24143028259277344,0.24364399909973145,10.671525247267049,48.62051015096304
4,42,True,51,-6257.856678574193,-3.2576036848382057,-1714.429623430433,-4.171361614185968,12657.713357148386,13052.516039704955,71,0.36492180824279785,0.36742353439331055,7.652264445601249,36.283185840707965
4,123,True,81,-6249.563683041662,-3.2532866647796266,-1778.1840994467343,-4.326481993787675,12641.127366083325,13035.930048639893,71,0.548943281173706,0.5538549423217773,9.838625715773034,37.37636647579386
4,456,True,88,-6249.5637110639,-3.253286679366944,-1778.1886728883296,-4.326493121382797,12641.1274221278,13035.930104684368,71,0.48581767082214355,0.489044189453125,9.838625715773034,37.37636647579386
4,789,True,53,-6257.85667942177,-3.2576036852794226,-1714.4305789679338,-4.1713639390947295,12657.71335884354,13052.516041400107,71,0.49956512451171875,0.5025629997253418,7.652264445601249,36.283185840707965
4,2026,True,85,-6258.153262786521,-3.2577580753703907,-1728.5272315284217,-4.205662363816111,12658.306525573042,13053.109208129608,71,0.7459661960601807,0.7486844062805176,8.172826652785007,36.283185840707965
