k,seed,converged,iterations,train_log_likelihood,train_log_likelihood_per_observation,validation_log_likelihood,validation_log_likelihood_per_observation,aic_train,bic_train,n_parameters,fit_time_sec,wall_time_sec,min_state_occupancy_pct,max_state_occupancy_pct
2,42,True,33,-8659.447216419681,-4.5077809559706825,-2201.695330408494,-5.356922945032832,17380.894432839363,17553.273068885188,31,0.13280892372131348,0.13454031944274902,26.132222800624678,73.86777719937533
2,123,True,20,-8659.447212670852,-4.507780954019183,-2201.692522844283,-5.356916113976357,17380.894425341703,17553.27306138753,31,0.40491294860839844,0.41019558906555176,26.132222800624678,73.86777719937533
2,456,True,19,-8659.447205903567,-4.507780950496391,-2201.6868119299947,-5.3569022188077735,17380.894411807134,17553.27304785296,31,0.27692079544067383,0.27853822708129883,26.132222800624678,73.86777719937533
2,789,True,18,-8659.447205916325,-4.507780950503032,-2201.686554174957,-5.3569015916665625,17380.89441183265,17553.273047878476,31,0.1791682243347168,0.18065524101257324,26.132222800624678,73.86777719937533
2,2026,True,29,-8659.447206791325,-4.507780950958524,-2201.6875556819527,-5.3569040284232425,17380.89441358265,17553.273049628475,31,0.2652571201324463,0.2685275077819824,26.132222800624678,73.86777719937533
3,42,True,75,-7909.439743371551,-4.117355410396435,-2176.620297617357,-5.295913132888947,15918.879486743102,16196.90954488153,50,1.0352344512939453,1.042144775390625,24.67464862051015,38.469547110879745
3,123,True,48,-7909.4397533720785,-4.117355415602331,-2176.573314916459,-5.295798819748075,15918.879506744157,16196.909564882584,50,0.4773688316345215,0.4805283546447754,24.67464862051015,38.469547110879745
3,456,True,65,-7909.439726543593,-4.117355401636436,-2176.615929400523,-5.295902504624143,15918.879453087186,16196.909511225613,50,0.390941858291626,0.39307403564453125,24.67464862051015,38.469547110879745
3,789,True,75,-7909.439724363792,-4.1173554005017134,-2176.615282496439,-5.295900930648269,15918.879448727585,16196.909506866012,50,0.35506439208984375,0.35718774795532227,24.67464862051015,38.469547110879745
3,2026,True,45,-7909.439759340536,-4.117355418709285,-2176.5716696960044,-5.295794816778599,15918.879518681071,16196.909576819498,50,0.5771799087524414,0.5797426700592041,24.67464862051015,38.469547110879745
4,42,True,69,-7417.035525909067,-3.8610283841275725,-2161.813449033759,-5.259886737308416,14976.071051818133,15370.873734374702,71,0.5410590171813965,0.5447711944580078,10.723581467985424,36.8558042686101
4,123,True,69,-7417.035528601325,-3.8610283855290604,-2161.8138849598927,-5.259887797955943,14976.07105720265,15370.873739759216,71,0.5875794887542725,0.5928258895874023,10.723581467985424,36.8558042686101
4,456,True,145,-7416.4078319423415,-3.860701630370818,-2161.932893616628,-5.260177356731455,14974.815663884683,15369.61834644125,71,0.6792275905609131,0.6832036972045898,12.597605413846955,36.90786048932848
4,789,True,38,-7417.035520369751,-3.861028381244014,-2161.772328109479,-5.259786686397759,14976.071040739502,15370.87372329607,71,0.2961132526397705,0.29841113090515137,10.723581467985424,36.8558042686101
4,2026,True,77,-7416.407823704421,-3.8607016260824683,-2162.016946077641,-5.260381863935867,14974.815647408843,15369.618329965411,71,0.4890444278717041,0.4913327693939209,12.597605413846955,36.90786048932848
