k,seed,converged,iterations,train_log_likelihood,train_log_likelihood_per_observation,validation_log_likelihood,validation_log_likelihood_per_observation,aic_train,bic_train,n_parameters,fit_time_sec,wall_time_sec,min_state_occupancy_pct,max_state_occupancy_pct
2,42,True,76,-7950.458768352757,-4.138708364577177,-2153.3660525830855,-5.2393334612727145,15962.917536705514,16135.29617275134,31,0.8999583721160889,0.9025962352752686,32.37896928682978,67.62103071317023
2,123,True,73,-7950.458735228972,-4.138708347334187,-2153.3644388735884,-5.239329534972234,15962.917470457944,16135.296106503769,31,0.5780930519104004,0.579986572265625,32.37896928682978,67.62103071317023
2,456,True,54,-7950.4587647109,-4.138708362681364,-2153.3658793235677,-5.23933303971671,15962.9175294218,16135.296165467626,31,0.4811127185821533,0.4823276996612549,32.37896928682978,67.62103071317023
2,789,True,77,-7950.458760988054,-4.138708360743391,-2153.3657012059116,-5.239332606340417,15962.917521976107,16135.296158021933,31,0.9004034996032715,0.9181056022644043,32.37896928682978,67.62103071317023
2,2026,True,57,-7950.458729493247,-4.138708344348385,-2153.3641502882233,-5.239328832818061,15962.917458986494,16135.29609503232,31,0.26349878311157227,0.26555967330932617,32.37896928682978,67.62103071317023
3,42,True,65,-7220.06553698599,-3.758493251944815,-2125.185471542204,-5.1707675706622975,14540.13107397198,14818.161132110406,50,0.41216015815734863,0.414229154586792,5.153565851119208,58.82352941176471
3,123,True,30,-7208.341714795193,-3.752390273188544,-2106.871802006956,-5.126208764007192,14516.683429590386,14794.713487728814,50,0.3894054889678955,0.39199113845825195,8.745445080687142,56.42894325871942
3,456,True,51,-7220.065580123165,-3.7584932744003985,-2125.1772007851578,-5.170747447165834,14540.13116024633,14818.161218384757,50,0.25872254371643066,0.2611229419708252,5.153565851119208,58.82352941176471
3,789,True,65,-7128.25574258949,-3.710700542732686,-2116.8980560719797,-5.150603542754208,14356.51148517898,14634.541543317408,50,0.3686540126800537,0.37044453620910645,20.510150963040083,40.44768349817803
3,2026,True,49,-7220.065562793568,-3.758493265379265,-2125.1804573186205,-5.170755370604916,14540.131125587135,14818.161183725562,50,0.43617844581604004,0.44464707374572754,5.153565851119208,58.82352941176471
4,42,True,46,-6579.8296738528825,-3.425210657914046,-1986.1444181845907,-4.832468170765427,13301.659347705765,13696.462030262333,71,0.46804022789001465,0.4708671569824219,3.748047891723061,36.283185840707965
4,123,True,88,-6579.198241144636,-3.4248819579097534,-1988.9947788755858,-4.839403354928432,13300.396482289272,13695.199164845839,71,0.5381143093109131,0.542902946472168,3.748047891723061,36.17907339927121
4,456,True,83,-6579.198229456546,-3.4248819518253755,-1989.003430111093,-4.8394244041632435,13300.396458913092,13695.19914146966,71,0.6205379962921143,0.6238439083099365,3.748047891723061,36.17907339927121
4,789,True,87,-6579.198255594895,-3.424881965432012,-1988.9933017746432,-4.839399761008864,13300.39651118979,13695.199193746357,71,0.5705857276916504,0.5749268531799316,3.748047891723061,36.17907339927121
4,2026,True,115,-6578.993884709229,-3.4247755776726856,-1958.9959823146085,-4.766413582273986,13299.987769418458,13694.790451975026,71,0.5760543346405029,0.5787508487701416,3.435710567412806,36.64757938573659
