k,seed,converged,iterations,train_log_likelihood,train_log_likelihood_per_observation,validation_log_likelihood,validation_log_likelihood_per_observation,aic_train,bic_train,n_parameters,fit_time_sec,wall_time_sec,min_state_occupancy_pct,max_state_occupancy_pct
2,42,True,21,-7350.632784039629,-3.8264616262569646,-2139.5939973832615,-5.205824811151488,14763.265568079258,14935.644204125083,31,0.781029224395752,0.7834351062774658,30.19260801665799,69.807391983342
2,123,True,20,-7350.632786533227,-3.8264616275550374,-2139.593889505067,-5.205824548674129,14763.265573066454,14935.644209112279,31,0.505425214767456,0.5082149505615234,30.19260801665799,69.807391983342
2,456,True,21,-7350.632784268031,-3.826461626375862,-2139.5919678984596,-5.205819873232262,14763.265568536062,14935.644204581888,31,0.4705007076263428,0.4721355438232422,30.19260801665799,69.807391983342
2,789,True,19,-7350.6327772946,-3.8264616227457573,-2139.5887563717483,-5.205812059298657,14763.2655545892,14935.644190635025,31,0.49828267097473145,0.5002322196960449,30.19260801665799,69.807391983342
2,2026,True,22,-7350.632779172402,-3.82646162372327,-2139.588847240463,-5.205812280390421,14763.265558344803,14935.644194390628,31,0.20255422592163086,0.20506501197814941,30.19260801665799,69.807391983342
3,42,True,138,-7066.52520745394,-3.6785659591118898,-2119.952639952351,-5.158035620322022,14233.05041490788,14511.080473046308,50,0.8175802230834961,0.8207635879516602,17.022384174908904,54.91931285788652
3,123,True,26,-6518.53975904771,-3.3933054445849606,-1956.0485532603789,-4.759242222044717,13137.07951809542,13415.109576233846,50,0.25342631340026855,0.2554759979248047,4.164497657470068,63.35242061426341
3,456,True,29,-6518.5397641092295,-3.3933054472197965,-1956.052360214241,-4.759251484706183,13137.079528218459,13415.109586356886,50,0.29643750190734863,0.29871153831481934,4.164497657470068,63.35242061426341
3,789,True,100,-6500.787808809314,-3.3840644501870454,-1967.704940136504,-4.78760326067276,13101.575617618628,13379.605675757055,50,0.5930020809173584,0.5951573848724365,8.224882873503384,55.439875065070275
3,2026,True,33,-6518.539752515145,-3.393305441184354,-1956.0532068897742,-4.759253544743976,13137.07950503029,13415.109563168717,50,0.30678820610046387,0.30924153327941895,4.164497657470068,63.35242061426341
4,42,True,52,-5805.69435265731,-3.0222250664535713,-1902.697745523884,-4.629434903951056,11753.38870531462,12148.19138787119,71,0.28507471084594727,0.28797435760498047,4.060385216033316,38.10515356585112
4,123,True,69,-5806.010579151327,-3.0223896820152665,-1901.338710351688,-4.626128249030871,11754.021158302654,12148.823840859222,71,0.45350050926208496,0.46323442459106445,4.060385216033316,38.157209786569496
4,456,True,70,-5806.010585813291,-3.0223896854832333,-1901.3373634756078,-4.626124971960117,11754.021171626582,12148.823854183149,71,1.2141427993774414,1.2174370288848877,4.060385216033316,38.157209786569496
4,789,True,70,-5806.010574517743,-3.022389679603198,-1901.3396571643136,-4.626130552711225,11754.021149035487,12148.823831592053,71,0.4926934242248535,0.4964792728424072,4.060385216033316,38.157209786569496
4,2026,True,69,-5805.694327211506,-3.022225053207447,-1902.6880759906987,-4.629411377106323,11753.388654423012,12148.19133697958,71,0.514251708984375,0.5162467956542969,4.060385216033316,38.10515356585112
