k,seed,converged,iterations,train_log_likelihood,train_log_likelihood_per_observation,validation_log_likelihood,validation_log_likelihood_per_observation,aic_train,bic_train,n_parameters,fit_time_sec,wall_time_sec,min_state_occupancy_pct,max_state_occupancy_pct
2,42,True,8,-8364.980196643959,-4.354492554213409,-2938.6145304892107,-7.14991369948713,16791.960393287918,16964.339029333743,31,0.1388082504272461,0.1405339241027832,2.6548672566371683,97.34513274336283
2,123,True,18,-8364.980199347789,-4.35449255562092,-2938.772888844739,-7.150298999622236,16791.960398695577,16964.339034741402,31,0.21223092079162598,0.21391963958740234,2.6548672566371683,97.34513274336283
2,456,True,18,-8364.980199687525,-4.3544925557977745,-2938.773723729205,-7.150301030971302,16791.96039937505,16964.339035420875,31,0.2547478675842285,0.2566089630126953,2.6548672566371683,97.34513274336283
2,789,True,18,-8364.980200672722,-4.354492556310631,-2938.77609562583,-7.150306802009318,16791.960401345445,16964.33903739127,31,0.24019718170166016,0.24203848838806152,2.6548672566371683,97.34513274336283
2,2026,True,18,-8364.980198856203,-4.35449255536502,-2938.7716684230677,-7.150296030226442,16791.960397712406,16964.33903375823,31,0.1532447338104248,0.15485930442810059,2.6548672566371683,97.34513274336283
3,42,True,36,-7062.364735681273,-3.676400174742984,-2649.7258899945427,-6.447021630157038,14224.729471362545,14502.759529500972,50,0.43398451805114746,0.4363119602203369,2.4466423737636647,64.28943258719417
3,123,True,41,-7062.364728956529,-3.676400171242337,-2649.7239732497023,-6.447016966544288,14224.729457913058,14502.759516051485,50,0.41463780403137207,0.41693663597106934,2.4466423737636647,64.28943258719417
3,456,True,20,-7062.364737543581,-3.676400175712432,-2649.7262736542853,-6.447022563635731,14224.729475087162,14502.75953322559,50,0.21246051788330078,0.21665477752685547,2.4466423737636647,64.28943258719417
3,789,True,72,-7062.364728452655,-3.676400170980039,-2649.7238214340227,-6.447016597163072,14224.72945690531,14502.759515043737,50,0.39460086822509766,0.39758801460266113,2.4466423737636647,64.28943258719417
3,2026,True,45,-7062.364728356987,-3.676400170930238,-2649.7237924183655,-6.447016526565366,14224.729456713974,14502.759514852401,50,0.5045936107635498,0.5106954574584961,2.4466423737636647,64.28943258719417
4,42,True,174,-6512.373124710616,-3.3900953278035484,-2650.4217818596676,-6.448714797712086,13166.746249421232,13561.548931977799,71,0.913834810256958,0.9166738986968994,2.4986985944820406,36.59552316501822
4,123,True,70,-6819.368270795451,-3.5499053986441704,-2672.263200902292,-6.501856936501927,13780.736541590903,14175.53922414747,71,0.46735548973083496,0.47312355041503906,2.030192608016658,50.49453409682457
4,456,True,262,-6514.768053117904,-3.391342037021293,-2660.3122496787873,-6.472779196298752,13171.536106235808,13566.338788792375,71,1.6781911849975586,1.6814475059509277,2.290473711608537,39.8750650702759
4,789,True,69,-6514.974614332048,-3.3914495649828464,-2658.915043149233,-6.469379667029764,13171.949228664096,13566.751911220665,71,0.5922009944915771,0.597266435623169,2.3945861530452888,36.64757938573659
4,2026,True,124,-6819.368217187961,-3.549905370738137,-2672.262401404463,-6.501854991251736,13780.736434375922,14175.53911693249,71,0.7623429298400879,0.7677905559539795,2.030192608016658,50.49453409682457
