asset,k,n_converged_seeds,n_seed_pairs,mean_pairwise_ARI,min_pairwise_ARI,max_pairwise_ARI,std_validation_LL_per_obs,std_BIC_train,min_state_occupancy_across_seeds_pct
SPY,2,5,10,1.0,1.0,1.0,6.289651790054933e-06,7.723223921443068e-06,30.19260801665799
SPY,3,5,10,0.6795236730406898,0.3327511049579376,1.0,0.17560240837330438,494.3416543225781,4.164497657470068
SPY,4,5,10,0.9951576971966727,0.9919294953277875,1.0,0.0018048843705573965,0.34642344656791846,4.060385216033316
QQQ,2,5,10,1.0,1.0,1.0,2.1457153317916445e-06,3.601784856620329e-05,32.37896928682978
QQQ,3,5,10,0.7159970511602936,0.38422470655443763,1.0,0.019706786427835184,80.14142035427945,5.153565851119208
QQQ,4,5,10,0.95994826644602,0.9023278834771759,1.0,0.032010007764150764,0.6356016973330784,3.435710567412806
IWM,2,5,10,0.698926975317511,0.24731743829377742,1.0,0.26152434941194713,277.08231698032165,10.359187922956794
IWM,3,5,10,0.9992269460470318,0.9980673651175793,1.0,0.009891940953815334,3.441098221449731,9.213951067152525
IWM,4,5,10,0.8192633873935111,0.5933905649645936,1.0,0.09684606789971083,349.7582224406145,1.978136387298282
TLT,2,5,10,1.0,1.0,1.0,0.00017312371652751648,2.992421153220023e-06,2.6548672566371683
TLT,3,5,10,1.0,1.0,1.0,2.980820337760477e-06,8.899290423922979e-06,2.4466423737636647
TLT,4,5,10,0.6943915481073182,0.5212040346519465,1.0,0.02287574319452839,334.47812147827136,2.030192608016658
GLD,2,5,10,1.0,1.0,1.0,1.1431007784471717e-05,6.999136038353237e-06,48.36022904737116
GLD,3,5,10,0.5486374473754638,0.2477290789591065,1.0,0.03451657642430597,597.8664014546381,14.263404476834982
GLD,4,5,10,0.6814163723535083,0.4690272872558471,1.0,0.1211885740281535,15.281380872275763,13.378448724622594
HYG,2,5,10,1.0,1.0,1.0,8.307041898937245e-07,8.10158694986186e-06,19.885476314419574
HYG,3,5,10,0.9988951980032242,0.9981586633387071,1.0,0.008982511662258729,0.34151809063881045,17.17855283706403
HYG,4,5,10,0.9749581891785084,0.9383463511258274,1.0,0.22596716205812784,538.0414516210902,0.2602811035918792
BTC-USD,2,5,10,1.0,1.0,1.0,2.3094618968223596e-05,1.87825970957295e-05,39.1354246365723
BTC-USD,3,5,10,0.4166927782481829,0.3031146586704813,0.7663346190303797,0.10462304689748458,452.34791917604167,14.307574598316755
BTC-USD,4,5,10,0.5526709275114915,0.4063859484589249,0.828673905329302,0.2030894577220113,249.69282545363848,11.400153022188217
JPM,2,5,10,1.0,1.0,1.0,6.094412036552917e-07,1.720640033154216e-05,15.304528891202498
JPM,3,5,10,1.0,1.0,1.0,6.681103455221202e-05,0.0001193130232872438,10.671525247267049
JPM,4,5,10,0.9335486333092531,0.8896479174979703,1.0,0.07993909220006727,9.195992616909955,7.652264445601249
NVDA,2,5,10,1.0,1.0,1.0,9.616869787987481e-06,9.54159965730408e-06,26.132222800624678
NVDA,3,5,10,1.0,1.0,1.0,5.97413453465975e-05,3.130536201169483e-05,24.67464862051015
NVDA,4,5,10,0.9839201151122611,0.9732001918537682,1.0,0.00024763614117291583,0.6876077621170662,10.723581467985424
