asset,model,DPA_direction_accuracy,balanced_accuracy,roc_auc,log_loss,brier_score,n_test_samples,runtime_sec,train_start,train_end,validation_start,validation_end,test_start,test_end
SPY,Logistic Regression,0.5800970873786407,0.495850622406639,0.47259226905437873,0.6847555477286995,0.24578573339301557,412,0.015268005430698395,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
SPY,Random Forest Classifier,0.5655339805825242,0.4884982164955958,0.5044769600349421,0.6837889421853847,0.24532592092998096,412,1.1892035249620676,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
SPY,HistGradientBoostingClassifier,0.5655339805825242,0.5241683045788745,0.5080924995753561,0.707263437326705,0.25582350395630565,412,0.3197270166128874,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
QQQ,Logistic Regression,0.5800970873786407,0.493801652892562,0.4655323286339329,0.6830446080594063,0.24491543791831047,412,0.009803406894207,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
QQQ,Random Forest Classifier,0.5922330097087378,0.5067574137092854,0.5101361205639281,0.6779515660866094,0.24234848374826204,412,1.4120148234069347,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
QQQ,HistGradientBoostingClassifier,0.5558252427184466,0.5081429265921245,0.4903135634419057,0.7070881295400416,0.2557516741495642,412,0.2518544923514128,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
IWM,Logistic Regression,0.5121359223300971,0.5003536818278277,0.5005776803187852,0.6959959407226359,0.2514143243088631,412,0.033414363861083984,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
IWM,Random Forest Classifier,0.5072815533980582,0.4978543302445121,0.5105279290750042,0.6978580766137171,0.2522938850129866,412,1.3212112709879875,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
IWM,HistGradientBoostingClassifier,0.5266990291262136,0.5228242672891468,0.5353328145999858,0.7245928893793366,0.2632194499370726,412,0.219363858923316,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
TLT,Logistic Regression,0.49271844660194175,0.4908801696712619,0.5138211382113821,0.6959304521865972,0.2513835324175805,412,0.016772737726569176,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
TLT,Random Forest Classifier,0.5,0.49871568280900197,0.5091080476022152,0.6988511591164457,0.25276213106744005,412,1.2406673543155193,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
TLT,HistGradientBoostingClassifier,0.5339805825242718,0.5335925533168375,0.5423589018498881,0.7206176979764934,0.26114780337966803,412,0.21141360327601433,2014-01-31,2021-09-16,2021-09-20,2023-05-08,2023-05-10,2024-12-27
